dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
medical,3,6,200,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,50.404277086257935
medical,3,6,200,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,54.34731125831604
medical,3,6,200,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,53.8869035243988
medical,3,6,300,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,69.46366953849792
medical,3,6,300,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,82.25855445861816
medical,3,6,300,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,84.90869235992432
medical,10,6,1000,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,837.0333604812622
medical,10,6,1000,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,769.7086112499237
medical,10,6,1000,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,758.1441013813019
medical,10,6,10,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,12.497092485427856
medical,10,6,10,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,11.09436845779419
medical,10,6,10,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,13.2637357711792
medical,10,6,50,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,46.98599195480347
medical,10,6,50,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,46.00299835205078
medical,10,6,50,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,51.45518612861633
medical,10,6,100,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,83.39884543418884
medical,10,6,100,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,85.0540840625763
medical,10,6,100,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,78.86657452583313
medical,10,6,200,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,168.3928017616272
medical,10,6,200,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,172.04688000679016
medical,10,6,200,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,164.7538206577301
medical,10,6,300,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,242.33788967132568
medical,10,6,300,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,250.80843257904053
medical,10,6,300,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,243.4831840991974
